MarketID_period,eq_price
173201501,112
173201601,112
173201701,112
173400301,111
173400302,111
173500101,99
173500102,99
173500103,99
173600101,110
173600102,110
173600103,110
173600104,110
173700101,110
173700201,110
173700301,110
173700401,110
173700501,110
174300101,489
174400101,550
174400201,550
174400301,550
174400401,550
174400501,550
174400601,550
174400701,550
174400801,550
174400901,550
174401001,550
174500101,110
174500201,110
174500301,110
174500401,110
174500501,110
174600101,120
174600201,120
174600301,110
174700101,107
174700201,107
174800101,81
174900101,112
174900102,112
174900103,112
174900201,112
174900202,112
174900203,112
174900301,112
174900302,112
174900303,112
174900401,112
174900402,112
174900403,112
174900501,112
174900502,112
174900503,112
174900601,112
174900602,112
174900603,112
174900701,112
174900702,112
174900703,112
174900801,112
174900802,112
174900803,112
174900901,112
174900902,112
174900903,112
174901001,112
174901002,112
174901003,112
174901101,112
174901102,112
174901103,112
174901201,112
174901202,112
174901203,112
174901301,112
174901302,112
174901303,112
174901401,112
174901402,112
174901403,112
174901501,112
174901502,112
174901503,112
174901601,112
174901602,112
174901603,112
174901701,112
174901702,112
174901703,112
174901801,112
174901802,112
174901803,112
174901901,112
174901902,112
174901903,112
174902001,112
174902002,112
174902003,112
174902101,112
174902102,112
174902103,112
174902201,112
174902202,112
174902203,112
174902301,112
174902302,112
174902303,112
174902401,112
174902402,112
174902403,112
174902501,107
174902502,107
174902503,112
175300101,112
175300201,112
175300301,112
175300401,112
175300501,112
175300601,112
175300701,112
175300801,112
175300901,112
175301001,112
175301101,112
175301201,112
175301301,112
175301401,112
175400201,90
175400202,90
175600101,112
175600102,112
175600201,112
175600202,112
175600301,112
175600302,112
175600401,112
175600402,112
175700101,108
175700102,108
175900101,96
175900102,96
175900201,96
175900202,96
175900301,96
175900302,96
175900401,96
175900402,96
176000101,112
176100101,112
176100201,112
176100301,112
176200101,77
176200201,77
176200301,77
176200401,77
176200501,77
176200601,77
176200602,77
176200701,77
176200801,77
176200901,77
176201001,77
176300101,110
176300201,110
176300301,110
176300401,110
176300501,110
176300601,110
176300701,110
176400101,112
176400201,112
176400301,112
176400401,112
176600101,96
176600102,96
176600201,96
176600202,96
176600301,96
176600302,96
176600401,96
176600402,96
176600501,96
176600502,96
176900101,110
176900201,106
177000101,107
177000201,107
177100101,96
177100102,96
177100201,96
177100202,96
177100301,96
177100302,96
177100401,96
177100402,96
177300101,78
177300102,78
177300201,78
177300202,78
177400101,100
177400102,100
177400103,100
177400104,100
177400201,100
177400202,100
177400203,100
177400204,100
177400301,100
177400302,100
177400303,100
177400304,100
177400401,100
177400402,100
177400403,100
177400404,100
177400501,100
177400502,100
177400503,100
177400504,100
177400601,100
177400602,100
177400603,100
177400604,100
177400701,100
177400702,100
177400703,100
177400704,100
177400801,100
177400802,100
177400803,100
177400804,100
177400901,100
177400902,100
177400903,100
177400904,100
177401001,100
177401002,100
177401003,100
177401004,100
177401101,100
177401102,100
177401103,100
177401104,100
177500101,112
177500201,112
177500301,112
177600101,100
177600102,100
177600103,100
177600104,100
177600201,100
177600202,100
177600203,100
177600204,100
177600301,100
177600302,100
177600303,100
177600304,100
177600401,100
177600402,100
177600403,100
177600404,100
177600501,100
177600502,100
177600503,100
177600504,100
177600601,100
177600602,100
177600603,100
177600604,100
177600701,100
177600702,100
177600703,100
177600704,100
177600801,100
177600802,100
177600803,100
177600804,100
177600901,100
177600902,100
177600903,100
177600904,100
177601001,100
177601002,100
177601003,100
177601004,100
177601101,100
177601102,100
177601103,100
177601104,100
177700101,112
178100101,345
178100201,345
178100301,345
178200101,135
178200102,135
178200201,135
178200202,135
178300101,100
178400101,489
178600101,112
178600201,112
178700101,110
178700201,110
178800101,112
178800201,112
178900101,118
178900201,118
178900301,118
178900401,118
179000101,100
179300101,100
179300201,100
179500101,97
179600101,102
179700101,112
179700201,112
179700301,112
179700401,112
179700501,112
179800101,220
179800201,220
179900101,675
180300101,125
180300102,125
180300103,125
180300201,125
180300202,125
180300203,125
180400101,100
180500101,110
180500201,110
180500301,110
180500401,110
180500501,110
180500601,105
180600101,75
180600102,75
180600103,75
180600104,75
180600105,75
180600106,75
180600107,75
180800101,116
180800201,116
180800301,111
181000101,112
181000201,112
181000301,107
181100101,78
181100102,78
181100201,78
181100202,78
181100301,78
181100302,78
181100401,78
181100402,78
181100501,78
181100502,78
181200101,109
181200102,109
181200201,109
181200202,109
181500101,110
181500201,110
